rtt,cwnd
360,2.5
361,2.5
362,1.25
363,2.05
364,2.05
365,1.025
366,2.0
367,2.5
368,2.9
369,3.2448275862068963
370,3.5530103704789475
371,3.8344618428159674
372,3.8344618428159674
373,1.9172309214079837
374,2.0
375,2.0
376,2.0
377,2.5
378,2.9
379,2.0
380,2.0
381,2.0
382,2.0
383,2.0
384,2.0
385,2.0
386,2.0
387,2.5
388,2.9
389,3.2448275862068963
390,3.5530103704789475
391,3.8344618428159674
392,3.8344618428159674
393,2.0
394,2.0
395,2.5
396,2.5
397,1.25
398,2.0
399,2.0
400,2.0
401,2.5
402,2.9
403,3.2448275862068963
404,3.5530103704789475
405,3.5530103704789475
406,2.0
407,2.0
408,2.0
409,2.0
410,2.0
411,2.0
412,2.0
413,2.0
414,2.5
415,2.0
416,2.0
417,2.0
418,2.0
419,2.0
420,2.0
421,2.0
422,2.0
423,2.0
424,2.0
425,2.0
426,2.0
427,2.0
428,2.0
429,2.5
430,2.9
431,3.2448275862068963
432,3.5530103704789475
433,2.0
434,2.0
435,2.0
436,2.0
437,2.0
438,2.0
439,2.5
440,2.9
441,3.2448275862068963
442,3.5530103704789475
443,1.7765051852394738
444,2.0
445,2.0
446,2.0
447,2.5
448,2.9
449,3.2448275862068963
450,3.2448275862068963
451,3.2448275862068963
452,2.0
453,2.0
454,2.0
455,2.5
456,2.9
457,3.2448275862068963
458,3.2448275862068963
459,3.2448275862068963
460,1.6224137931034481
461,2.23877936164755
462,2.0
463,2.0
464,2.0
465,2.0
466,2.0
467,2.0
468,2.0
469,2.0
470,2.0
471,2.0
472,2.0
473,2.0
474,2.5
475,1.25
476,2.0
477,2.0
478,2.0
479,2.5
480,1.25
481,2.0
482,2.0
483,2.0
484,2.0
485,2.0
486,2.0
487,2.0
488,2.0
489,2.0
490,2.5
491,1.25
492,2.0
493,2.5
494,2.0
495,2.0
496,2.0
497,2.5
498,2.9
499,2.9
500,1.45
501,2.0
502,2.5
503,2.9
504,3.2448275862068963
505,3.5530103704789475
506,3.8344618428159674
507,3.8344618428159674
508,3.8344618428159674
509,2.0
510,2.0
511,2.0
512,2.0
513,2.0
514,2.5
515,2.5
516,1.25
517,2.0
518,2.5
519,2.9
520,2.0
521,2.0
522,2.0
523,2.0
524,2.0
525,2.0
526,2.0
527,2.0
528,2.0
529,2.0
530,2.0
531,2.0
532,2.0
533,2.0
534,2.0
535,2.5
536,2.9
537,2.0
538,2.0
539,2.0
540,2.0
541,2.0
542,2.5
543,2.5
544,2.0
545,2.5
546,2.9
547,3.2448275862068963
548,3.2448275862068963
549,3.2448275862068963
550,1.6224137931034481
551,2.23877936164755
552,2.23877936164755
553,1.119389680823775
554,2.0127336316667788
555,2.509570363694694
556,2.0
557,2.0
558,2.0
559,2.0
560,2.5
561,1.25
562,2.0
563,2.0
564,2.0
565,2.5
566,2.5
567,1.25
568,2.05
569,2.05
570,1.025
571,2.000609756097561
572,2.000609756097561
573,1.0003048780487804
574,2.0
575,2.5
576,2.5
577,1.25
578,2.0
579,2.5
580,2.5
581,1.25
582,2.0
583,2.5
584,2.9
585,3.2448275862068963
586,3.5530103704789475
587,3.5530103704789475
588,3.5530103704789475
589,2.0
590,2.5
591,2.9
592,2.0
593,2.0
594,2.0
595,2.0
596,2.0
597,2.0
598,2.0
599,2.0
600,2.0
601,2.5
602,2.5
603,2.0
604,2.5
605,2.0
606,2.0
607,2.0
608,2.0
609,2.0
610,2.0
611,2.0
612,2.0
613,2.0
614,2.5
615,2.5
616,2.0
617,2.5
618,1.25
619,2.0
620,2.0
621,2.0
622,2.0
623,2.0
624,2.0
625,2.0
626,2.0
627,2.0
628,2.0
629,2.5
630,2.9
631,2.9
632,1.45
633,2.139655172413793
634,1.0698275862068964
635,2.0
636,2.0
637,2.0
638,2.5
639,2.5
640,1.25
641,2.05
642,2.05
643,2.0
644,2.5
645,2.9
646,2.0
647,2.0
648,2.0
649,2.0
650,2.0
651,2.0
652,2.0
653,2.0
654,2.0
655,2.0
656,2.0
657,2.0
658,2.0
659,2.0
660,2.0
661,2.5
662,2.5
663,2.0
664,2.5
665,2.5
666,2.0
667,2.0
668,2.0
669,2.0
670,2.0
671,2.0
672,2.0
673,2.0
674,2.0
675,2.0
676,2.0
677,2.0
678,2.5
679,2.5
680,2.0
681,2.0
682,2.0
683,2.0
684,2.0
685,2.0
686,2.0
687,2.0
688,2.5
689,2.9
690,1.45
691,2.0
692,2.5
693,1.25
694,2.0
695,2.0
696,2.0
697,2.0
698,2.5
699,2.9
700,3.2448275862068963
701,3.5530103704789475
702,3.8344618428159674
703,4.095254632258779
704,4.095254632258779
705,2
706,2.0
707,2.0
708,2.0
709,2.0
710,2.0
711,2.0
712,2.5
713,2.0
714,2.0
715,2.0
716,2.0
717,2.0
718,2.0
719,2.0
720,2.0
721,2.5
722,2.5
723,1.25
724,2.0
725,2.5
726,2.9
727,1.45
728,2.0
729,2.5
730,2.5
731,1.25
732,2.05
733,2.05
734,1.025
735,2.0
736,2.0
737,2.0
738,2.0
739,2.0
740,2.0
741,2.0
742,2.0
743,2.0
744,2.0
745,2.0
746,2.5
747,2.0
748,2.0
749,2.0
750,2.0
751,2.0
752,2.0
753,2.0
754,2.0
755,2.0
756,2.0
757,2.5
758,2.9
759,2.0
760,2.0
761,2.0
762,2.0
763,2.5
764,2.9
765,3.2448275862068963
766,3.2448275862068963
767,1.6224137931034481
768,2.0
769,2.0
770,2.0
771,2.0
772,2.0
773,2.0
774,2.0
775,2.5
776,2.5
